text,label,label_name,category,style,difficulty,group_id
סיכום פגישה: נא לא להפיץ את דוח הגבייה; הוא כולל מספר כרטיס 6451546298898059 של איתי פרץ. לא להעביר את זה מעבר לצוות.,1,LEAK,financial,meeting_note,medium,financial|meeting_note|medium
"מתוך הדוח: יש לעדכן את טבלת הסניפים: באר שבע, רעננה, אשדוד.",0,NON_LEAK,hard_negatives_with_numbers,report,easy,hard_negatives_with_numbers|report|easy
"סיכום פגישה: טבלת הבונוסים כוללת שמות מלאים, שכר והערות אישיות על עובדים. המידע הזה נשמר כרגע בבמסמך הפנימי.",1,LEAK,hr_legal,meeting_note,easy,hr_legal|meeting_note|easy
"סיכום פגישה: במסמך המצורף אין מידע אישי, רק סיכום משימות והחלטות.",0,NON_LEAK,chatty_realistic,meeting_note,easy,chatty_realistic|meeting_note|easy
סיכום פגישה: הקובץ מכיל תוצאות בדיקות של יואב לוי ופרטים מזהים נוספים,1,LEAK,medical,meeting_note,hard,medical|meeting_note|hard
"מתוך הדוח: המסמך מפרט מהלך רכישה אפשרי ופרטי מו""מ שטרם פורסמו כרגע זה פתוח לטיפול של שיווק",1,LEAK,business_confidential,report,medium,business_confidential|report|medium
"  עדכון קצר - גרסה 21/8/2026 נדחתה בשבוע, אבל אין במסמך מידע אישי.",0,NON_LEAK,hard_negatives_with_numbers,chat,medium,hard_negatives_with_numbers|chat|medium
לתיעוד פנימי - הסיסמה הזמנית לחשבון של שרון סעדה היא Welcome2026! ויש להחליף אותה מיד המידע הזה נשמר כרגע בבסלאק תודה,1,LEAK,credentials,memo,hard,credentials|memo|hard
סיכום פגישה: נדרש לרכז משימות של שירות לקוחות לקראת תכנון רבעוני.,0,NON_LEAK,operational_internal,meeting_note,easy,operational_internal|meeting_note|easy
"נושא: המשך טיפול
הלקוחה רונית פרץ ביקשה שנשמור את 0560731304 ואת ronit.peretz@outlook.com רק בתוך הצוות.",1,LEAK,direct_pii,email,medium,direct_pii|email|medium
מתוך הדוח: בדוח שהגיע מאיכילוב מופיעים פרטי טיפול של עדי שלום. המידע הזה נשמר כרגע בבמסמך הפנימי.,1,LEAK,medical,report,medium,medical|report|medium
"נושא: מעקב
הצוות עבר לשלב בדיקות אינטגרציה ונדרש לעדכן סטטוס עד סוף היום.",0,NON_LEAK,operational_internal,email,easy,operational_internal|email|easy
  סיכום פגישה: לקראת ישיבת כספים נשלחו גם פרטי הקשר של ניר ביטון (0552003468) וגם תאריך ההשקה 25/12/2026. צריך לסגור את זה מול ראש צוות.,1,LEAK,mixed_context,meeting_note,medium,mixed_context|meeting_note|medium
"מתוך הדוח: בדוח מופיע רק שם החברה רפאל ותאריך יעד 19/8/2026, ללא מידע אישי.",0,NON_LEAK,borderline_non_leak,report,medium,borderline_non_leak|report|medium
דחוף - נדרש לרכז משימות של כספים לקראת תכנון רבעוני. המידע הזה נשמר כרגע בבמסמך הפנימי.,0,NON_LEAK,operational_internal,chat,easy,operational_internal|chat|easy
"HR-054463 | טבלת הבונוסים כוללת שמות מלאים, שכר והערות אישיות על עובדים",1,LEAK,hr_legal,ticket,medium,hr_legal|ticket|medium
"מתוך הדוח: הועבר דוח עם רשימת לקוחות אסטרטגיים, הצעות מחיר ותנאי התקשרות",1,LEAK,business_confidential,report,hard,business_confidential|report|hard
"שולח שוב - הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור. התיעוד נשמר תחת מבצע שקמה. תודה",1,LEAK,credentials,chat,hard,credentials|chat|hard
"נושא: מעקב
הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,LEAK,credentials,email,medium,credentials|email|medium
סיכום פגישה: נא לשמור על סודיות: תוכנית ההשקה של פרויקט נוגה וקוד השם מיזם תמר מצורפים.,1,LEAK,business_confidential,meeting_note,easy,business_confidential|meeting_note|easy
"  לתיעוד פנימי: המסמך מפרט מהלך רכישה אפשרי ופרטי מו""מ שטרם פורסמו",1,LEAK,business_confidential,memo,medium,business_confidential|memo|medium
